,gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes,series,series_game,num_series_wins,opp_series_wins,series_winner
0,50174,200504230BOS,NBA,0,2005,2005-04-23,83,1,BOS,Celtics,102,1511.8661,1525.509,44.004639,IND,Pacers,82,1564.4844,1550.8414,H,W,0.56776816,,BOS_IND,1.0,3,4,IND
1,50182,200504250BOS,NBA,0,2005,2005-04-25,84,1,BOS,Celtics,79,1525.509,1518.3048,43.252075,IND,Pacers,82,1550.8414,1558.0457,H,L,0.60583097,,BOS_IND,2.0,3,4,IND
2,50191,200504280IND,NBA,1,2005,2005-04-28,85,1,BOS,Celtics,76,1518.3048,1508.2587,42.200207,IND,Pacers,99,1558.0457,1568.0918,A,L,0.30908233,,BOS_IND,3.0,3,4,IND
3,50198,200504300IND,NBA,1,2005,2005-04-30,86,1,BOS,Celtics,110,1508.2587,1544.9792,46.026955,IND,Pacers,79,1568.0918,1531.3712,A,W,0.28494292,,BOS_IND,4.0,3,4,IND
4,50207,200505030BOS,NBA,0,2005,2005-05-03,87,1,BOS,Celtics,85,1544.9792,1534.7936,44.971451,IND,Pacers,90,1531.3712,1541.5569,H,L,0.65790689,,BOS_IND,5.0,3,4,IND
5,50213,200505050IND,NBA,1,2005,2005-05-05,88,1,BOS,Celtics,92,1534.7936,1542.7277,45.794163,IND,Pacers,89,1541.5569,1533.6228,A,W,0.35101539,,BOS_IND,6.0,3,4,IND
6,50215,200505070BOS,NBA,0,2005,2005-05-07,89,1,BOS,Celtics,70,1542.7277,1513.7803,42.778625,IND,Pacers,97,1533.6228,1562.5702,H,L,0.65204901,,BOS_IND,7.0,3,4,IND
7,50174,200504230BOS,NBA,1,2005,2005-04-23,83,1,IND,Pacers,82,1564.4844,1550.8414,46.63147,BOS,Celtics,102,1511.8661,1525.509,A,L,0.43223184,,IND_BOS,1.0,4,3,IND
8,50182,200504250BOS,NBA,1,2005,2005-04-25,84,1,IND,Pacers,82,1550.8414,1558.0457,47.370949,BOS,Celtics,79,1525.509,1518.3048,A,W,0.39416903,,IND_BOS,2.0,4,3,IND
9,50191,200504280IND,NBA,0,2005,2005-04-28,85,1,IND,Pacers,99,1558.0457,1568.0918,48.394985,BOS,Celtics,76,1518.3048,1508.2587,H,W,0.69091767,,IND_BOS,3.0,4,3,IND
10,50198,200504300IND,NBA,0,2005,2005-04-30,86,1,IND,Pacers,79,1568.0918,1531.3712,44.615536,BOS,Celtics,110,1508.2587,1544.9792,H,L,0.71505708,,IND_BOS,4.0,4,3,IND
11,50207,200505030BOS,NBA,1,2005,2005-05-03,87,1,IND,Pacers,90,1531.3712,1541.5569,45.672989,BOS,Celtics,85,1544.9792,1534.7936,A,W,0.34209311,,IND_BOS,5.0,4,3,IND
12,50213,200505050IND,NBA,0,2005,2005-05-05,88,1,IND,Pacers,89,1541.5569,1533.6228,44.849762,BOS,Celtics,92,1534.7936,1542.7277,H,L,0.64898461,,IND_BOS,6.0,4,3,IND
13,50215,200505070BOS,NBA,1,2005,2005-05-07,89,1,IND,Pacers,97,1533.6228,1562.5702,47.833241,BOS,Celtics,70,1542.7277,1513.7803,A,W,0.34795099,,IND_BOS,7.0,4,3,IND
14,50175,200504230DAL,NBA,0,2005,2005-04-23,83,1,DAL,Mavericks,86,1690.6172,1673.3955,58.357548,HOU,Rockets,98,1669.1071,1686.3287,H,L,0.66806996,,DAL_HOU,1.0,4,3,DAL
15,50183,200504250DAL,NBA,0,2005,2005-04-25,84,1,DAL,Mavericks,111,1673.3955,1666.927,57.796764,HOU,Rockets,113,1686.3287,1692.7972,H,L,0.62274051,,DAL_HOU,2.0,4,3,DAL
16,50190,200504280HOU,NBA,1,2005,2005-04-28,85,1,DAL,Mavericks,106,1666.927,1676.4014,58.615494,HOU,Rockets,102,1692.7972,1683.3229,A,W,0.326388,,DAL_HOU,3.0,4,3,DAL
17,50197,200504300HOU,NBA,1,2005,2005-04-30,86,1,DAL,Mavericks,97,1676.4014,1685.3809,59.375889,HOU,Rockets,93,1683.3229,1674.3434,A,W,0.35080796,,DAL_HOU,4.0,4,3,DAL
